47	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#832.177#832.454
48	покушать	кушать	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#832.454#832.731
49	чё-нибудь	чё-нибудь	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#832.731#833.008
50	?	?	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#833.008#833.286
51	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#835.428#835.689
52	готов	готовый	ADJ	_	Degree=Pos|Gender=Masc|Number=Sing|Variant=Short	_	_	_	@emk1994m-words#@emk1994m#835.689#835.95
53	обсудить	обсудить	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#835.95#836.211
54	это	это	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#836.211#836.472
55	за	за	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#836.472#836.733
56	ужином	ужин	NOUN	_	Animacy=Inan|Case=Ins|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#836.733#836.998
57	ну	ну	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#838.683#838.911
58	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#838.911#839.139
59	ещё	еще	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#839.139#839.367
60	не	не	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#839.367#839.595
61	настолько	настолько	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#839.595#839.823
62	голоден	голодный	ADJ	_	Degree=Pos|Gender=Masc|Number=Sing|Variant=Short	_	_	_	@emk1994m-words#@emk1994m#839.823#840.051
63	да	да	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#840.051#840.279
64	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#840.279#840.507
65	чтоб	чтобы	SCONJ	_	Mood=Cnd	_	_	_	@emk1994m-words#@emk1994m#840.507#840.735
66	прям	пре	NOUN	_	Animacy=Anim|Case=Dat|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#840.735#840.963
67	вот	вот	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#840.963#841.191
68	настолько	настолько	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#841.191#841.419
69	отойти	отойти	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#841.419#841.647
70	от	от	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#841.647#841.875
71	своих	свой	DET	_	Case=Gen|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#841.875#842.103
72	принципов	принцип	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#842.103#842.333
73	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#842.334#842.502
74	и	и	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#842.502#842.67
75	холодец	холодец	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#842.67#842.838
76	ненавижу	ненавидеть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#842.838#843.006
77	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#843.006#843.174
78	и	и	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#843.174#843.342
79	мясо	мясо	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#843.342#843.51
80	не	не	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#843.51#843.678
81	ем	есть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#843.678#843.85
82	ну	ну	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#851.32#851.517
83	конечно	конечно	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#851.517#851.714
84	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#851.714#851.911
85	нет	нет	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#851.911#852.108
86	ну	ну	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#852.108#852.305
87	да	да	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#852.305#852.502
88	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#852.502#852.699
89	ну	ну	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#852.699#852.896
90	нет	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#852.896#853.093
91	сначала	сначала	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#853.093#853.29
92	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#853.29#853.487
93	съем	съть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#853.487#853.684
94	свои	свой	DET	_	Case=Acc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#853.684#853.881
95	глаза	глаз	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#853.881#854.086
96	аа	ао	NOUN	_	Animacy=Inan|Case=Gen|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#854.088#854.468
97	потом	потом	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#854.468#854.848
98	#смеётся#	#смеётся#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#854.848#855.228
99	потом	потом	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#855.228#855.608
100	#шумный_вдох#	#шумный_вдох#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#855.608#855.988
101	чтобы	чтобы	SCONJ	_	Mood=Cnd	_	_	_	@emk1994m-words#@emk1994m#855.988#856.368
102	не	не	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#856.368#856.748
103	видеть	видеть	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#856.748#857.128
104	эту	этот	DET	_	Case=Acc|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#857.128#857.508
105	хуйню	хуйня	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#857.508#857.888
106	#шумный_вдох#	#шумный_вдох#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#857.888#858.268
107	начну	начать	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#858.268#858.648
108	есть	быть	VERB	_	Aspect=Imp|VerbForm=Inf|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#858.648#859.028
109	холодец	холодец	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#859.028#859.413
110	#смеётся#	#смеётся#	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#859.683#860.8
111	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#861.8#862.041
112	тебе	ты	PRON	_	Case=Dat|Number=Sing|Person=2	_	_	_	@emk1994m-words#@emk1994m#862.041#862.282
113	не	не	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#862.282#862.523
114	смогу	мочь	VERB	_	Aspect=Perf|Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#862.523#862.764
115	назвать	назвать	VERB	_	Aspect=Perf|VerbForm=Inf|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#862.764#863.005
116	любимых	любимый	ADJ	_	Animacy=Anim|Case=Acc|Degree=Pos|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#863.005#863.246
117	блогеров	блоггер	NOUN	_	Animacy=Anim|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#863.246#863.487
118	потому	потому	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#863.487#863.728
119	что	что	SCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#863.728#863.969
120	у	у	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#863.969#864.21
121	меня	я	PRON	_	Case=Gen|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#864.21#864.451
122	их	они	PRON	_	Case=Gen|Number=Plur|Person=3	_	_	_	@emk1994m-words#@emk1994m#864.451#864.692
123	нету	нет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#864.692#864.938
124	есть	быть	VERB	_	Aspect=Imp|Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#864.94#865.183
125	просто	просто	PART	_	_	_	_	_	@emk1994m-words#@emk1994m#865.183#865.426
126	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#865.426#865.669
127	которых	который	PRON	_	Case=Gen	_	_	_	@emk1994m-words#@emk1994m#865.669#865.912
128	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#865.912#866.155
129	смотрю	смотреть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#866.155#866.398
130	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#866.398#866.641
131	на	на	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#866.641#866.884
132	которых	который	PRON	_	Case=Loc	_	_	_	@emk1994m-words#@emk1994m#866.884#867.127
133	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#867.127#867.37
134	подписан	подписать	VERB	_	Aspect=Perf|Gender=Masc|Number=Sing|Tense=Past|Variant=Short|VerbForm=Part|Voice=Pass	_	_	_	@emk1994m-words#@emk1994m#867.37#867.615
135	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#867.984#868.398
136	смотрю	смотреть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#868.398#868.812
137	Яна	Ян	ADJ	_	Degree=Pos|Gender=Fem|Number=Sing|Variant=Short	_	_	_	@emk1994m-words#@emk1994m#868.812#869.226
138	Топлес	Топлес	PROPN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#869.226#869.64
139	потому	потому	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#869.64#870.054
140	что	что	SCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#870.054#870.468
141	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@emk1994m-words#@emk1994m#870.468#870.882
142	делает	делать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#870.882#871.296
143	качественно	качественно	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#871.296#871.71
144	и	и	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#871.71#872.124
145	интересненько	интересненько	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#872.124#872.538
146	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#872.538#872.952
147	я	я	PRON	_	Case=Nom|Number=Sing|Person=1	_	_	_	@emk1994m-words#@emk1994m#872.952#873.366
148	смотрю	смотреть	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#873.366#873.78
149	редакцию	редакция	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#873.78#874.195
150	это	этот	PRON	_	Animacy=Inan|Case=Acc|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#874.196#874.454
151	мужчина	мужчина	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#874.454#874.712
152	с	с	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#874.712#874.97
153	НТВ	НТВ	PROPN	_	Animacy=Inan|Case=Loc|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#874.97#875.228
154	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#875.228#875.486
155	журналист	журналист	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#875.486#875.744
156	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@emk1994m-words#@emk1994m#875.744#876.002
157	делает	делать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#876.002#876.26
158	фильмы	фильм	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#876.26#876.518
159	ээ	ээ	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#876.518#876.776
160	на	на	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#876.776#877.034
161	разные	разный	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#877.034#877.292
162	темы	тема	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#877.292#877.555
163	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@emk1994m-words#@emk1994m#877.555#877.871
164	делает	делать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#877.871#878.187
165	там	там	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#878.187#878.503
166	например	например	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#878.503#878.819
167	фильм	фильм	NOUN	_	Animacy=Inan|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#878.819#879.135
168	про	про	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#879.135#879.451
169	феминизм	феминизм	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#879.451#879.767
170	где	где	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#879.767#880.083
171	берёт	брать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#880.083#880.399
172	комментарии	комментарий	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#880.399#880.715
173	у	у	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#880.715#881.031
174	разных	разный	ADJ	_	Case=Gen|Degree=Pos|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#881.031#881.347
175	там	там	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#881.347#881.663
176	ээ	ээ	NOUN	_	Case=Gen|Degree=Pos|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#881.663#881.979
177	людей	человек	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#881.979#882.295
178	имеющих	иметь	VERB	_	Aspect=Imp|Case=Gen|Number=Plur|Tense=Pres|VerbForm=Part|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#882.295#882.611
179	к	к	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#882.611#882.927
180	этому	этот	PRON	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#882.927#883.243
181	отношение	отношение	NOUN	_	Animacy=Inan|Case=Nom|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#883.243#883.568
182	людей	человек	NOUN	_	Animacy=Anim|Case=Gen|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#883.569#883.889
183	и	и	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#883.889#884.209
184	людек	людка	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#884.209#884.529
185	феминитив	феминитив	NOUN	_	Animacy=Inan|Case=Gen|Gender=Fem|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#884.53#884.817
186	по	по	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#884.817#885.104
187	отношению	отношение	NOUN	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#885.104#885.391
188	к	к	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#885.391#885.678
189	слову	слово	NOUN	_	Animacy=Inan|Case=Dat|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#885.678#885.965
190	людь	людь	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#885.965#886.252
191	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#886.252#886.539
192	людька	людька	NOUN	_	Animacy=Inan|Case=Nom|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#886.539#886.826
193	?	?	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#886.826#887.113
194	лю...	лю...	PROPN	_	Animacy=Anim|Case=Dat|Gender=Fem|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#887.725#887.96
195	люди	человек	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#887.96#888.195
196	и	и	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#888.195#888.43
197	людьки	людька	NOUN	_	Animacy=Inan|Case=Acc|Gender=Masc|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#888.43#888.665
198	делает	делать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#890.07#890.579
199	прикольные	прикольный	ADJ	_	Animacy=Inan|Case=Acc|Degree=Pos|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#890.582#890.83
200	штуки	штука	NOUN	_	Animacy=Inan|Case=Acc|Gender=Fem|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#890.83#891.078
201	достаточно	достаточно	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#891.078#891.326
202	качественные	качественный	ADJ	_	Case=Nom|Degree=Pos|Number=Plur	_	_	_	@emk1994m-words#@emk1994m#891.326#891.574
203	и	и	CCONJ	_	_	_	_	_	@emk1994m-words#@emk1994m#891.574#891.822
204	у	у	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#891.822#892.07
205	него	он	PRON	_	Case=Gen|Gender=Masc|Number=Sing|Person=3	_	_	_	@emk1994m-words#@emk1994m#892.07#892.318
206	хороший	хороший	ADJ	_	Case=Nom|Degree=Pos|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#892.318#892.566
207	бэкграунд	бэкграунд	NOUN	_	Animacy=Anim|Case=Nom|Gender=Masc|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#892.566#892.814
208	/	/	PUNCT	_	_	_	_	_	@emk1994m-words#@emk1994m#892.814#893.062
209	за	за	ADP	_	_	_	_	_	@emk1994m-words#@emk1994m#893.062#893.31
210	счёт	счет	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#893.31#893.558
211	этого	это	PRON	_	Animacy=Inan|Case=Gen|Gender=Neut|Number=Sing	_	_	_	@emk1994m-words#@emk1994m#893.558#893.806
212	он	он	PRON	_	Case=Nom|Gender=Masc|Number=Sing|Person=3	_	_	_	@emk1994m-words#@emk1994m#893.806#894.06
213	делает	делать	VERB	_	Aspect=Imp|Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin|Voice=Act	_	_	_	@emk1994m-words#@emk1994m#894.062#894.391
214	хорошо	хорошо	ADV	_	Degree=Pos	_	_	_	@emk1994m-words#@emk1994m#894.391#894.72
